url,pelmorex_id,name,province,coords,temp,timestamp
https://www.eltiempo.es/gargantiel.html,ESXX4344,Gargantiel,Ciudad Real,"(38.8084702, -4.7060191)",38.0,2022-07-25 19:15
https://www.eltiempo.es/guijo.html,ESXX4354,Guijo,Córdoba,"(38.495977, -4.7831015)",38.0,2022-07-25 19:15
https://www.eltiempo.es/zildotz.html,ESNA0381,Zildotz,Navarra,"(42.8776613, -1.6708167759364358)",23.0,2022-07-25 19:15
https://www.eltiempo.es/villalengua.html,ESXX3462,Villalengua,Zaragoza,"(41.4354738, -1.8406491)",33.0,2022-07-25 19:15
https://www.eltiempo.es/loma-de-ucieza.html,ESXX20762,Loma de Ucieza,Palencia,"(42.4771428, -4.578716473021888)",30.0,2022-07-25 19:15
https://www.eltiempo.es/fuentes.html,ESXX4991,Fuentes,Cuenca,"(39.9503682, -2.0210007)",37.0,2022-07-25 19:15
https://www.eltiempo.es/agustin.html,ESXX12910,Agustín,Lugo,"(42.9567788, -7.3149639)",23.0,2022-07-25 19:15
https://www.eltiempo.es/taurito.html,ESXX12829,Taurito,Las Palmas,"(27.8163849, -15.7517111)",28.0,2022-07-25 18:15
https://www.eltiempo.es/pedralba.html,ESV0211,Pedralba,Valencia,"(39.6053522, -0.7260062)",32.0,2022-07-25 19:15
https://www.eltiempo.es/matilla-de-arzon.html,ESXX6038,Matilla de Arzón,Zamora,"(42.1060915, -5.6415868)",32.0,2022-07-25 19:15
https://www.eltiempo.es/en-provincia-salamanca/cuellar.html,ESXX19358,Cuéllar,Salamanca,"(40.6386961, -6.6591439)",34.0,2022-07-25 19:15
https://www.eltiempo.es/mariana.html,ESXX2487,Mariana,Cuenca,"(40.1664999, -2.1450678)",37.0,2022-07-25 19:15
https://www.eltiempo.es/en-provincia-leon/tejedo.html,ESXX17015,Tejedo,León,"(42.8595405, -6.3549942)",25.0,2022-07-25 19:15
https://www.eltiempo.es/sant-miquel-de-pera.html,ESXX11887,Sant Miquel de Pera,Girona,"(42.2839166, 2.4950352)",30.0,2022-07-25 19:15
https://www.eltiempo.es/lidon.html,ESXX4386,Lidón,Teruel,"(40.7175307, -1.1124556)",31.0,2022-07-25 19:15
https://www.eltiempo.es/cenera-de-zalima.html,ESXX19512,Cenera de Zalima,Palencia,"(42.8153695, -4.3208147)",23.0,2022-07-25 19:15
https://www.eltiempo.es/estellencs.html,ESPM0206,Estellencs,Baleares,"(39.6535102, 2.4810336)",30.0,2022-07-25 19:15
https://www.eltiempo.es/torazo.html,ESO0571,Torazo,Asturias,"(43.394828, -5.4005827)",20.0,2022-07-25 19:05
https://www.eltiempo.es/quintanatello-de-ojeda.html,ESXX17742,Quintanatello de Ojeda,Palencia,"(42.7341647, -4.4574756)",26.0,2022-07-25 19:15
https://www.eltiempo.es/los-gabatos.html,ESMU0304,Los Gabatos,Murcia,"(37.6398988, -1.0079858)",31.0,2022-07-25 19:15
https://www.eltiempo.es/bolmente.html,ESXX13100,Bolmente,Lugo,"(42.4227736, -7.5898946)",29.0,2022-07-25 19:15
https://www.eltiempo.es/rionegro-del-puente.html,ESXX0578,Rionegro del Puente,Zamora,"(42.0055905, -6.2281127)",31.0,2022-07-25 19:15
https://www.eltiempo.es/canales-de-la-sierra.html,ESLO0118,Canales de la Sierra,La Rioja,"(42.1426201, -3.0251241)",25.0,2022-07-25 19:15
https://www.eltiempo.es/teilan.html,ESXX12131,Teilán,Lugo,"(42.6489551, -7.5129593)",28.0,2022-07-25 19:15
https://www.eltiempo.es/la-rambla-grande.html,ESXX15222,La Rambla Grande,Almería,"(36.8400831, -2.4606892560028277)",39.0,2022-07-25 19:15
https://www.eltiempo.es/calvera.html,ESXX19716,Calvera,Huesca,"(42.3879835, 0.6130516)",31.0,2022-07-25 19:15
https://www.eltiempo.es/campol.html,ESXX19683,Campol,Huesca,"(42.4985454, -0.0085749)",33.0,2022-07-25 19:15
https://www.eltiempo.es/torre-endomenech.html,ESV0373,Torre Endoménech,Castellón,"(40.2633725, 0.0701668)",31.0,2022-07-25 19:15
https://www.eltiempo.es/abrente.html,ESXX9372,Abrente,Lugo,"(42.9897454, -6.9733963)",26.0,2022-07-25 19:15
https://www.eltiempo.es/en-provincia-cuenca/don-benito.html,ESXX15864,Don Benito,Cuenca,"(40.1151163, -2.410344)",38.0,2022-07-25 19:15
https://www.eltiempo.es/ronfe.html,ESXX13902,Ronfe,Lugo,"(42.8438253, -7.4221674)",27.0,2022-07-25 19:15
